[23:51:10] [I] parser C:\Users\yiz\Desktop\body\body000\00010.png
[23:51:10] [I] parser C:\Users\yiz\Desktop\body\body000\00011.png
[23:51:10] [I] parser C:\Users\yiz\Desktop\body\body000\00012.png
[23:51:10] [I] parser C:\Users\yiz\Desktop\body\body000\00013.png
[23:51:10] [I] parser C:\Users\yiz\Desktop\body\body000\00014.png
[23:51:10] [I] parser C:\Users\yiz\Desktop\body\body000\00015.png
[23:51:10] [I] parser C:\Users\yiz\Desktop\body\body000\00016.png
[23:51:10] [I] parser C:\Users\yiz\Desktop\body\body000\00017.png
[23:51:10] [I] parser C:\Users\yiz\Desktop\body\body000\00026.png
[23:51:10] [I] parser C:\Users\yiz\Desktop\body\body000\00027.png
[23:51:10] [I] parser C:\Users\yiz\Desktop\body\body000\00028.png
[23:51:10] [I] parser C:\Users\yiz\Desktop\body\body000\00029.png
[23:51:10] [I] parser C:\Users\yiz\Desktop\body\body000\00030.png
[23:51:10] [I] parser C:\Users\yiz\Desktop\body\body000\00032.png
[23:51:10] [I] parser C:\Users\yiz\Desktop\body\body000\00033.png
[23:51:10] [I] parser C:\Users\yiz\Desktop\body\body000\00034.png
[23:51:10] [I] parser C:\Users\yiz\Desktop\body\body000\00035.png
[23:51:10] [I] parser C:\Users\yiz\Desktop\body\body000\00036.png
[23:51:10] [I] parser C:\Users\yiz\Desktop\body\body000\00037.png
[23:51:10] [I] parser C:\Users\yiz\Desktop\body\body000\00038.png
[23:51:10] [I] parser C:\Users\yiz\Desktop\body\body000\00039.png
[23:51:39] [I] parser C:\Users\yiz\Desktop\body\body000\00008.png
[23:51:39] [I] parser C:\Users\yiz\Desktop\body\body000\00009.png
[23:51:39] [I] parser C:\Users\yiz\Desktop\body\body000\00010.png
[23:51:39] [I] parser C:\Users\yiz\Desktop\body\body000\00011.png
[23:51:39] [I] parser C:\Users\yiz\Desktop\body\body000\00012.png
[23:51:39] [I] parser C:\Users\yiz\Desktop\body\body000\00013.png
[23:51:39] [I] parser C:\Users\yiz\Desktop\body\body000\00014.png
[23:51:39] [I] parser C:\Users\yiz\Desktop\body\body000\00015.png
[23:51:39] [I] parser C:\Users\yiz\Desktop\body\body000\00016.png
[23:51:39] [I] parser C:\Users\yiz\Desktop\body\body000\00017.png
[23:51:39] [I] parser C:\Users\yiz\Desktop\body\body000\00026.png
[23:51:39] [I] parser C:\Users\yiz\Desktop\body\body000\00027.png
[23:51:39] [I] parser C:\Users\yiz\Desktop\body\body000\00028.png
[23:51:39] [I] parser C:\Users\yiz\Desktop\body\body000\00029.png
[23:51:39] [I] parser C:\Users\yiz\Desktop\body\body000\00030.png
[23:51:39] [I] parser C:\Users\yiz\Desktop\body\body000\00032.png
[23:51:39] [I] parser C:\Users\yiz\Desktop\body\body000\00033.png
[23:51:39] [I] parser C:\Users\yiz\Desktop\body\body000\00034.png
[23:51:39] [I] parser C:\Users\yiz\Desktop\body\body000\00035.png
[23:51:39] [I] parser C:\Users\yiz\Desktop\body\body000\00036.png
[23:51:39] [I] parser C:\Users\yiz\Desktop\body\body000\00037.png
[23:51:39] [I] parser C:\Users\yiz\Desktop\body\body000\00038.png
[23:51:39] [I] parser C:\Users\yiz\Desktop\body\body000\00039.png
[23:54:18] [I] parser C:\Users\yiz\Desktop\body\body000\00008.png
[23:54:18] [I] parser C:\Users\yiz\Desktop\body\body000\00009.png
[23:54:19] [I] parser C:\Users\yiz\Desktop\body\body000\00010.png
[23:54:19] [I] parser C:\Users\yiz\Desktop\body\body000\00011.png
[23:54:19] [I] parser C:\Users\yiz\Desktop\body\body000\00012.png
[23:54:19] [I] parser C:\Users\yiz\Desktop\body\body000\00013.png
[23:54:19] [I] parser C:\Users\yiz\Desktop\body\body000\00014.png
[23:54:19] [I] parser C:\Users\yiz\Desktop\body\body000\00015.png
[23:54:19] [I] parser C:\Users\yiz\Desktop\body\body000\00016.png
[23:54:19] [I] parser C:\Users\yiz\Desktop\body\body000\00017.png
[23:54:19] [I] parser C:\Users\yiz\Desktop\body\body000\00026.png
[23:54:19] [I] parser C:\Users\yiz\Desktop\body\body000\00027.png
[23:54:19] [I] parser C:\Users\yiz\Desktop\body\body000\00028.png
[23:54:19] [I] parser C:\Users\yiz\Desktop\body\body000\00029.png
[23:54:19] [I] parser C:\Users\yiz\Desktop\body\body000\00030.png
[23:54:19] [I] parser C:\Users\yiz\Desktop\body\body000\00032.png
[23:54:19] [I] parser C:\Users\yiz\Desktop\body\body000\00033.png
[23:54:19] [I] parser C:\Users\yiz\Desktop\body\body000\00034.png
[23:54:19] [I] parser C:\Users\yiz\Desktop\body\body000\00035.png
[23:54:19] [I] parser C:\Users\yiz\Desktop\body\body000\00036.png
[23:54:19] [I] parser C:\Users\yiz\Desktop\body\body000\00037.png
[23:54:19] [I] parser C:\Users\yiz\Desktop\body\body000\00038.png
[23:54:19] [I] parser C:\Users\yiz\Desktop\body\body000\00039.png
[23:55:45] [I] parser C:\Users\yiz\Desktop\body\body000\00008.png
[23:55:45] [I] parser C:\Users\yiz\Desktop\body\body000\00009.png
[23:55:45] [I] parser C:\Users\yiz\Desktop\body\body000\00010.png
[23:55:45] [I] parser C:\Users\yiz\Desktop\body\body000\00011.png
[23:55:45] [I] parser C:\Users\yiz\Desktop\body\body000\00012.png
[23:55:45] [I] parser C:\Users\yiz\Desktop\body\body000\00013.png
[23:55:45] [I] parser C:\Users\yiz\Desktop\body\body000\00014.png
[23:55:45] [I] parser C:\Users\yiz\Desktop\body\body000\00015.png
[23:55:45] [I] parser C:\Users\yiz\Desktop\body\body000\00016.png
[23:55:45] [I] parser C:\Users\yiz\Desktop\body\body000\00017.png
[23:55:45] [I] parser C:\Users\yiz\Desktop\body\body000\00026.png
[23:55:45] [I] parser C:\Users\yiz\Desktop\body\body000\00027.png
[23:55:45] [I] parser C:\Users\yiz\Desktop\body\body000\00028.png
[23:55:45] [I] parser C:\Users\yiz\Desktop\body\body000\00029.png
[23:55:45] [I] parser C:\Users\yiz\Desktop\body\body000\00030.png
[23:55:45] [I] parser C:\Users\yiz\Desktop\body\body000\00032.png
[23:55:45] [I] parser C:\Users\yiz\Desktop\body\body000\00033.png
[23:55:45] [I] parser C:\Users\yiz\Desktop\body\body000\00034.png
[23:55:46] [I] parser C:\Users\yiz\Desktop\body\body000\00035.png
[23:55:46] [I] parser C:\Users\yiz\Desktop\body\body000\00036.png
[23:55:46] [I] parser C:\Users\yiz\Desktop\body\body000\00037.png
[23:55:46] [I] parser C:\Users\yiz\Desktop\body\body000\00038.png
[23:55:46] [I] parser C:\Users\yiz\Desktop\body\body000\00039.png
[23:56:15] [I] parser C:\Users\yiz\Desktop\body\body000\00008.png
[23:56:15] [I] parser C:\Users\yiz\Desktop\body\body000\00009.png
[23:56:15] [I] parser C:\Users\yiz\Desktop\body\body000\00010.png
[23:56:15] [I] parser C:\Users\yiz\Desktop\body\body000\00011.png
[23:56:15] [I] parser C:\Users\yiz\Desktop\body\body000\00012.png
[23:56:15] [I] parser C:\Users\yiz\Desktop\body\body000\00013.png
[23:56:15] [I] parser C:\Users\yiz\Desktop\body\body000\00014.png
[23:56:15] [I] parser C:\Users\yiz\Desktop\body\body000\00015.png
[23:56:15] [I] parser C:\Users\yiz\Desktop\body\body000\00016.png
[23:56:15] [I] parser C:\Users\yiz\Desktop\body\body000\00017.png
[23:56:15] [I] parser C:\Users\yiz\Desktop\body\body000\00026.png
[23:56:15] [I] parser C:\Users\yiz\Desktop\body\body000\00027.png
[23:56:15] [I] parser C:\Users\yiz\Desktop\body\body000\00028.png
[23:56:15] [I] parser C:\Users\yiz\Desktop\body\body000\00029.png
[23:56:15] [I] parser C:\Users\yiz\Desktop\body\body000\00030.png
[23:56:15] [I] parser C:\Users\yiz\Desktop\body\body000\00032.png
[23:56:15] [I] parser C:\Users\yiz\Desktop\body\body000\00033.png
[23:56:15] [I] parser C:\Users\yiz\Desktop\body\body000\00034.png
[23:56:15] [I] parser C:\Users\yiz\Desktop\body\body000\00035.png
[23:56:15] [I] parser C:\Users\yiz\Desktop\body\body000\00036.png
[23:56:15] [I] parser C:\Users\yiz\Desktop\body\body000\00037.png
[23:56:15] [I] parser C:\Users\yiz\Desktop\body\body000\00038.png
[23:56:15] [I] parser C:\Users\yiz\Desktop\body\body000\00039.png
[23:57:12] [I] parser C:\Users\yiz\Desktop\body\body000\00008.png
[23:57:12] [I] parser C:\Users\yiz\Desktop\body\body000\00009.png
[23:57:12] [I] parser C:\Users\yiz\Desktop\body\body000\00010.png
[23:57:12] [I] parser C:\Users\yiz\Desktop\body\body000\00011.png
[23:57:12] [I] parser C:\Users\yiz\Desktop\body\body000\00012.png
[23:57:12] [I] parser C:\Users\yiz\Desktop\body\body000\00013.png
[23:57:12] [I] parser C:\Users\yiz\Desktop\body\body000\00014.png
[23:57:12] [I] parser C:\Users\yiz\Desktop\body\body000\00015.png
[23:57:12] [I] parser C:\Users\yiz\Desktop\body\body000\00016.png
[23:57:12] [I] parser C:\Users\yiz\Desktop\body\body000\00017.png
[23:57:12] [I] parser C:\Users\yiz\Desktop\body\body000\00026.png
[23:57:12] [I] parser C:\Users\yiz\Desktop\body\body000\00027.png
[23:57:12] [I] parser C:\Users\yiz\Desktop\body\body000\00028.png
[23:57:12] [I] parser C:\Users\yiz\Desktop\body\body000\00029.png
[23:57:12] [I] parser C:\Users\yiz\Desktop\body\body000\00030.png
[23:57:12] [I] parser C:\Users\yiz\Desktop\body\body000\00032.png
[23:57:12] [I] parser C:\Users\yiz\Desktop\body\body000\00033.png
[23:57:12] [I] parser C:\Users\yiz\Desktop\body\body000\00034.png
[23:57:12] [I] parser C:\Users\yiz\Desktop\body\body000\00035.png
[23:57:12] [I] parser C:\Users\yiz\Desktop\body\body000\00036.png
[23:57:12] [I] parser C:\Users\yiz\Desktop\body\body000\00037.png
[23:57:12] [I] parser C:\Users\yiz\Desktop\body\body000\00038.png
[23:57:12] [I] parser C:\Users\yiz\Desktop\body\body000\00039.png
[00:02:16] [I] parser C:\Users\yiz\Desktop\body\body000\00008.png
[00:02:16] [I] parser C:\Users\yiz\Desktop\body\body000\00009.png
[00:02:16] [I] parser C:\Users\yiz\Desktop\body\body000\00010.png
[00:02:16] [I] parser C:\Users\yiz\Desktop\body\body000\00011.png
[00:02:16] [I] parser C:\Users\yiz\Desktop\body\body000\00012.png
[00:02:16] [I] parser C:\Users\yiz\Desktop\body\body000\00013.png
[00:02:16] [I] parser C:\Users\yiz\Desktop\body\body000\00014.png
[00:02:16] [I] parser C:\Users\yiz\Desktop\body\body000\00015.png
[00:02:16] [I] parser C:\Users\yiz\Desktop\body\body000\00016.png
[00:02:16] [I] parser C:\Users\yiz\Desktop\body\body000\00017.png
[00:02:16] [I] parser C:\Users\yiz\Desktop\body\body000\00026.png
[00:02:16] [I] parser C:\Users\yiz\Desktop\body\body000\00027.png
[00:02:16] [I] parser C:\Users\yiz\Desktop\body\body000\00028.png
[00:02:16] [I] parser C:\Users\yiz\Desktop\body\body000\00029.png
[00:02:16] [I] parser C:\Users\yiz\Desktop\body\body000\00030.png
[00:02:16] [I] parser C:\Users\yiz\Desktop\body\body000\00032.png
[00:02:16] [I] parser C:\Users\yiz\Desktop\body\body000\00033.png
[00:02:16] [I] parser C:\Users\yiz\Desktop\body\body000\00034.png
[00:02:16] [I] parser C:\Users\yiz\Desktop\body\body000\00035.png
[00:02:16] [I] parser C:\Users\yiz\Desktop\body\body000\00036.png
[00:02:16] [I] parser C:\Users\yiz\Desktop\body\body000\00037.png
[00:02:16] [I] parser C:\Users\yiz\Desktop\body\body000\00038.png
[00:02:16] [I] parser C:\Users\yiz\Desktop\body\body000\00039.png
[00:03:21] [I] parser C:\Users\yiz\Desktop\body\body000\00008.png
[00:03:21] [I] parser C:\Users\yiz\Desktop\body\body000\00009.png
[00:03:21] [I] parser C:\Users\yiz\Desktop\body\body000\00010.png
[00:03:21] [I] parser C:\Users\yiz\Desktop\body\body000\00011.png
[00:03:21] [I] parser C:\Users\yiz\Desktop\body\body000\00012.png
[00:03:21] [I] parser C:\Users\yiz\Desktop\body\body000\00013.png
[00:03:21] [I] parser C:\Users\yiz\Desktop\body\body000\00014.png
[00:03:21] [I] parser C:\Users\yiz\Desktop\body\body000\00015.png
[00:03:21] [I] parser C:\Users\yiz\Desktop\body\body000\00016.png
[00:03:21] [I] parser C:\Users\yiz\Desktop\body\body000\00017.png
[00:03:21] [I] parser C:\Users\yiz\Desktop\body\body000\00026.png
[00:03:21] [I] parser C:\Users\yiz\Desktop\body\body000\00027.png
[00:03:21] [I] parser C:\Users\yiz\Desktop\body\body000\00028.png
[00:03:21] [I] parser C:\Users\yiz\Desktop\body\body000\00029.png
[00:03:21] [I] parser C:\Users\yiz\Desktop\body\body000\00030.png
[00:03:21] [I] parser C:\Users\yiz\Desktop\body\body000\00032.png
[00:03:21] [I] parser C:\Users\yiz\Desktop\body\body000\00033.png
[00:03:21] [I] parser C:\Users\yiz\Desktop\body\body000\00034.png
[00:03:21] [I] parser C:\Users\yiz\Desktop\body\body000\00035.png
[00:03:21] [I] parser C:\Users\yiz\Desktop\body\body000\00036.png
[00:03:22] [I] parser C:\Users\yiz\Desktop\body\body000\00037.png
[00:03:22] [I] parser C:\Users\yiz\Desktop\body\body000\00038.png
[00:03:22] [I] parser C:\Users\yiz\Desktop\body\body000\00039.png
[00:07:17] [I] parser C:\Users\yiz\Desktop\body\body000\00008.png
[00:07:17] [I] parser C:\Users\yiz\Desktop\body\body000\00009.png
[00:07:17] [I] parser C:\Users\yiz\Desktop\body\body000\00010.png
[00:07:17] [I] parser C:\Users\yiz\Desktop\body\body000\00011.png
[00:07:17] [I] parser C:\Users\yiz\Desktop\body\body000\00012.png
[00:07:17] [I] parser C:\Users\yiz\Desktop\body\body000\00013.png
[00:07:17] [I] parser C:\Users\yiz\Desktop\body\body000\00014.png
[00:07:17] [I] parser C:\Users\yiz\Desktop\body\body000\00015.png
[00:07:17] [I] parser C:\Users\yiz\Desktop\body\body000\00016.png
[00:07:17] [I] parser C:\Users\yiz\Desktop\body\body000\00017.png
[00:07:17] [I] parser C:\Users\yiz\Desktop\body\body000\00026.png
[00:07:17] [I] parser C:\Users\yiz\Desktop\body\body000\00027.png
[00:07:17] [I] parser C:\Users\yiz\Desktop\body\body000\00028.png
[00:07:17] [I] parser C:\Users\yiz\Desktop\body\body000\00029.png
[00:07:17] [I] parser C:\Users\yiz\Desktop\body\body000\00030.png
[00:07:17] [I] parser C:\Users\yiz\Desktop\body\body000\00032.png
[00:07:17] [I] parser C:\Users\yiz\Desktop\body\body000\00033.png
[00:07:17] [I] parser C:\Users\yiz\Desktop\body\body000\00034.png
[00:07:17] [I] parser C:\Users\yiz\Desktop\body\body000\00035.png
[00:07:17] [I] parser C:\Users\yiz\Desktop\body\body000\00036.png
[00:07:17] [I] parser C:\Users\yiz\Desktop\body\body000\00037.png
[00:07:17] [I] parser C:\Users\yiz\Desktop\body\body000\00038.png
[00:07:17] [I] parser C:\Users\yiz\Desktop\body\body000\00039.png
[00:09:47] [I] parser C:\Users\yiz\Desktop\body\body000\00008.png
[00:09:47] [I] parser C:\Users\yiz\Desktop\body\body000\00009.png
[00:09:47] [I] parser C:\Users\yiz\Desktop\body\body000\00010.png
[00:09:47] [I] parser C:\Users\yiz\Desktop\body\body000\00011.png
[00:09:47] [I] parser C:\Users\yiz\Desktop\body\body000\00012.png
[00:09:47] [I] parser C:\Users\yiz\Desktop\body\body000\00013.png
[00:09:47] [I] parser C:\Users\yiz\Desktop\body\body000\00014.png
[00:09:47] [I] parser C:\Users\yiz\Desktop\body\body000\00015.png
[00:09:47] [I] parser C:\Users\yiz\Desktop\body\body000\00016.png
[00:09:47] [I] parser C:\Users\yiz\Desktop\body\body000\00017.png
[00:09:47] [I] parser C:\Users\yiz\Desktop\body\body000\00026.png
[00:09:47] [I] parser C:\Users\yiz\Desktop\body\body000\00027.png
[00:09:47] [I] parser C:\Users\yiz\Desktop\body\body000\00028.png
[00:09:47] [I] parser C:\Users\yiz\Desktop\body\body000\00029.png
[00:09:47] [I] parser C:\Users\yiz\Desktop\body\body000\00030.png
[00:09:47] [I] parser C:\Users\yiz\Desktop\body\body000\00032.png
[00:09:47] [I] parser C:\Users\yiz\Desktop\body\body000\00033.png
[00:09:47] [I] parser C:\Users\yiz\Desktop\body\body000\00034.png
[00:09:47] [I] parser C:\Users\yiz\Desktop\body\body000\00035.png
